109	657-366	0	13632	-1	525888at33208|Pdum_DN64330_c0_g1_i5|-|36|0.0006805|1|292|657|657[657]:292[292]:366[366]
133	1446-381	0	2528	-1	525888at33208|Pdum_DN66117_c0_g1_i2|-|53|5.192e-09|1|1066|1446|1446[1446]:1066[1066]:381[381]
150	449-357	0	53442	-1	590416at33208|Pdum_DN67074_c0_g1_i3|-|89|7.555e-20|1|93|449|449[449]:93[93]:357[357]
180	770-417	0	15657	-1	514675at33208|Pdum_DN68428_c4_g1_i3|-|56|6.49e-10|1|354|770|770[770]:354[354]:417[417]
184	1928-510	0	12249	-1	266469at33208|Pdum_DN68622_c0_g2_i1|-|39|8.506e-05|1|1419|1928|1928[1928]:1419[1419]:510[510]
217	2417+441	0	36098	1	630073at33208|Pdum_DN70056_c2_g2_i5|+|73|4.951e-15|1|2417|2857|2417[2417]:2857[2857]:441[441]
244	851-327	0	53442	-1	590416at33208|Pdum_DN71130_c3_g3_i4|-|91|1.889e-20|1|525|851|851[851]:525[525]:327[327]
251	1213-888	0	30222	-1	235430at33208|Pdum_DN71483_c1_g1_i1|-|55|1.298e-09|1|326|1213|1213[1213]:326[326]:888[888]
277	2351-1809	0	11428	-1	530431at33208|Pdum_DN72564_c0_g2_i1|-|339|4.176e-95|1|543|2351|2351[2351]:543[543]:1809[1809]
294	1447-1173	0	2478	-1	597816at33208|Pdum_DN73215_c1_g1_i6|-|183|3.814e-48|1|275|1447|1447[1447]:275[275]:1173[1173]
301	2106-354	0	1007	-1	395919at33208|Pdum_DN73429_c0_g2_i2|-|47|3.323e-07|1|1753|2106|2106[2106]:1753[1753]:354[354]
345	1367-363	0	53442	-1	590416at33208|Pdum_DN75245_c1_g1_i2|-|97|2.951e-22|1|1005|1367|1367[1367]:1005[1005]:363[363]
355	1726-1413	0	25749	-1	164767at33208|Pdum_DN75651_c0_g1_i1|-|49|8.307e-08|1|314|1726|1726[1726]:314[314]:1413[1413]
370	83+342	0	1007	1	395919at33208|Pdum_DN76192_c1_g4_i2|+|62|1.014e-11|1|83|424|83[83]:424[424]:342[342]
374	594-408	0	53442	-1	590416at33208|Pdum_DN76357_c7_g1_i2|-|89|7.555e-20|1|187|594|594[594]:187[187]:408[408]
379	2100-441	0	36098	-1	630073at33208|Pdum_DN76427_c1_g2_i3|-|89|7.555e-20|1|1660|2100|2100[2100]:1660[1660]:441[441]
382	359-360	0	53442	-1	590416at33208|Pdum_DN76673_c4_g1_i3|-|123|4.398e-30|1|0|359|359[359]:0[0]:360[360]
391	1370-285	0	19747	-1	559732at33208|Pdum_DN76910_c1_g1_i1|-|87|3.022e-19|1|1086|1370|1370[1370]:1086[1086]:285[285]
414	357-357	0	53442	-1	590416at33208|Pdum_DN77881_c1_g2_i1|-|108|1.441e-25|1|1|357|357[357]:1[1]:357[357]
417	1530-390	0	34167	-1	514675at33208|Pdum_DN77915_c3_g1_i6|-|65|1.268e-12|1|1141|1530|1530[1530]:1141[1141]:390[390]
458	311-312	0	53442	-1	590416at33208|Pdum_DN79475_c2_g1_i3|-|102|9.223e-24|1|0|311|311[311]:0[0]:312[312]
462	1289-240	0	1007	-1	395919at33208|Pdum_DN79592_c2_g1_i3|-|40|4.253e-05|1|1050|1289|1289[1289]:1050[1050]:240[240]
462	1979-567	0	32893	-1	468710at33208|Pdum_DN79592_c2_g1_i3|-|83|4.835e-18|1|1413|1979|1979[1979]:1413[1413]:567[567]
487	3959-1125	0	46590	-1	581621at33208|Pdum_DN80463_c0_g3_i2|-|178|1.221e-46|1|2835|3959|3959[3959]:2835[2835]:1125[1125]
494	867-321	0	53442	-1	590416at33208|Pdum_DN80788_c0_g1_i3|-|103|4.611e-24|1|547|867|867[867]:547[547]:321[321]
508	1547-450	0	32893	-1	468710at33208|Pdum_DN81184_c2_g1_i5|-|87|3.022e-19|1|1098|1547|1547[1547]:1098[1098]:450[450]
515	2343-798	0	14115	-1	359532at33208|Pdum_DN81487_c0_g1_i3|-|41|2.127e-05|1|1546|2343|2343[2343]:1546[1546]:798[798]
516	1721-636	0	27566	-1	495100at33208|Pdum_DN81471_c0_g1_i1|-|87|3.022e-19|1|1086|1721|1721[1721]:1086[1086]:636[636]
535	1396-936	0	5061	-1	267439at33208|Pdum_DN82184_c0_g1_i1|-|130|3.436e-32|1|461|1396|1396[1396]:461[461]:936[936]
538	866-372	0	53442	-1	590416at33208|Pdum_DN82221_c1_g1_i8|-|123|4.398e-30|1|495|866|866[866]:495[495]:372[372]
540	3601-939	0	1512	-1	235430at33208|Pdum_DN82224_c0_g1_i1|-|56|6.49e-10|1|2663|3601|3601[3601]:2663[2663]:939[939]
557	429-351	0	53442	-1	590416at33208|Pdum_DN82840_c2_g1_i1|-|116|5.629e-28|1|79|429|429[429]:79[79]:351[351]
572	916-453	0	53442	-1	590416at33208|Pdum_DN83395_c0_g2_i3|-|95|1.181e-21|1|464|916|916[916]:464[464]:453[453]
607	2657-567	0	12440	-1	514675at33208|Pdum_DN84505_c0_g1_i1|-|84|2.418e-18|1|2091|2657|2657[2657]:2091[2091]:567[567]
616	2059-567	0	20707	-1	235430at33208|Pdum_DN84814_c0_g2_i1|-|76|6.189e-16|1|1493|2059|2059[2059]:1493[1493]:567[567]
628	1969-657	0	51912	-1	349064at33208|Pdum_DN85272_c1_g1_i4|-|74|2.476e-15|1|1313|1969|1969[1969]:1313[1313]:657[657]
640	526-399	0	53442	-1	590416at33208|Pdum_DN85566_c4_g3_i1|-|117|2.815e-28|1|128|526|526[526]:128[128]:399[399]
642	641-597	0	42241	-1	245567at33208|Pdum_DN85632_c0_g3_i1|-|188|1.192e-49|1|45|641|641[641]:45[45]:597[597]
646	1773-309	0	53442	-1	590416at33208|Pdum_DN85779_c0_g1_i5|-|72|9.903e-15|1|1465|1773|1773[1773]:1465[1465]:309[309]
653	4223-738	0	12910	-1	495100at33208|Pdum_DN86040_c0_g1_i2|-|66|6.338e-13|1|3486|4223|4223[4223]:3486[3486]:738[738]
669	2431-1071	0	2478	-1	597816at33208|Pdum_DN86591_c0_g1_i7|-|116|5.629e-28|1|1361|2431|2431[2431]:1361[1361]:1071[1071]
699	5076-942	0	13504	-1	289235at33208|Pdum_DN87453_c1_g1_i1|-|180|3.052e-47|1|4135|5076|5076[5076]:4135[4135]:942[942]
713	1849-363	0	41399	-1	273040at33208|Pdum_DN87823_c0_g1_i1|-|144|2.097e-36|1|1487|1849|1849[1849]:1487[1487]:363[363]
719	1351-306	0	19747	-1	559732at33208|Pdum_DN88098_c3_g5_i1|-|52|1.038e-08|1|1046|1351|1351[1351]:1046[1046]:306[306]
726	1185-222	0	29305	-1	422158at33208|Pdum_DN88222_c1_g2_i3|-|44|2.658e-06|1|964|1185|1185[1185]:964[964]:222[222]
749	975-801	0	21052	-1	267439at33208|Pdum_DN88937_c1_g1_i7|-|71|1.981e-14|1|175|975|975[975]:175[175]:801[801]
750	1366-372	0	34428	-1	395919at33208|Pdum_DN88962_c1_g1_i2|-|51|2.077e-08|1|995|1366|1366[1366]:995[995]:372[372]
753	770-657	0	41362	-1	495100at33208|Pdum_DN89046_c2_g2_i3|-|67|3.169e-13|1|114|770|770[770]:114[114]:657[657]
758	1294-738	0	14115	-1	359532at33208|Pdum_DN89228_c1_g1_i2|-|55|1.298e-09|1|557|1294|1294[1294]:557[557]:738[738]
782	1688-750	0	22787	-1	266808at33208|Pdum_DN89990_c3_g2_i4|-|55|1.298e-09|1|939|1688|1688[1688]:939[939]:750[750]
784	2917-600	0	28542	-1	422158at33208|Pdum_DN89987_c0_g1_i1|-|46|6.646e-07|1|2318|2917|2917[2917]:2318[2318]:600[600]
786	1906-387	0	11736	-1	266808at33208|Pdum_DN90079_c2_g2_i8|-|53|5.192e-09|1|1520|1906|1906[1906]:1520[1520]:387[387]
864	2781-1737	0	11428	-1	530431at33208|Pdum_DN92202_c5_g1_i4|-|162|7.999e-42|1|1045|2781|2781[2781]:1045[1045]:1737[1737]
881	988-396	0	53442	-1	590416at33208|Pdum_DN92663_c4_g1_i2|-|109|7.205e-26|1|593|988|988[988]:593[593]:396[396]
1033	2508-735	0	31084	-1	266808at33208|Pdum_DN66431_c0_g1_i1|-|55|1.298e-09|1|1774|2508|2508[2508]:1774[1774]:735[735]
1034	1309-417	0	7625	-1	571149at33208|Pdum_DN66504_c0_g1_i1|-|156|5.12e-40|1|893|1309|1309[1309]:893[893]:417[417]
1046	1682-666	0	6073	-1	367596at33208|Pdum_DN67100_c0_g4_i4|-|70|3.961e-14|1|1017|1682|1682[1682]:1017[1017]:666[666]
1046	2075-210	0	17461	-1	367596at33208|Pdum_DN67100_c0_g4_i4|-|48|1.661e-07|1|1866|2075|2075[2075]:1866[1866]:210[210]
1063	1395-219	0	10924	-1	216563at33208|Pdum_DN67912_c0_g2_i6|-|52|1.038e-08|1|1177|1395|1395[1395]:1177[1177]:219[219]
1095	476-378	0	53442	-1	590416at33208|Pdum_DN69389_c3_g1_i6|-|130|3.436e-32|1|99|476|476[476]:99[99]:378[378]
1119	372-372	0	53442	-1	590416at33208|Pdum_DN70348_c5_g2_i3|-|129|6.871e-32|1|1|372|372[372]:1[1]:372[372]
