#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN78091_c0_g1_i4:389-1459   -            357 530431at33208        -            406   1.3e-86  287.4   0.5   1   1   5.2e-88   1.5e-86  287.1   0.5     9   333    16   354    11   357 0.88 -
Pdum_DN76963_c1_g1_i2:188-1180   -            331 530431at33208        -            406   1.5e-80  267.3   0.2   1   1   9.3e-82   2.7e-80  266.5   0.2   179   384    21   258    17   281 0.87 -
Pdum_DN85758_c0_g1_i1:5-1366     -            454 530431at33208        -            406   7.2e-79  261.8   0.2   1   2   8.8e-21   2.5e-19   65.7   0.0    10    61   137   188   126   192 0.89 -
Pdum_DN85758_c0_g1_i1:5-1366     -            454 530431at33208        -            406   7.2e-79  261.8   0.2   2   2   9.6e-60   2.8e-58  194.0   0.1    60   190   298   439   293   454 0.87 -
Pdum_DN85679_c0_g1_i8:213-1418   -            402 530431at33208        -            406     1e-78  261.3   0.3   1   1   4.4e-80   1.3e-78  261.0   0.3     4   364     9   388     6   398 0.84 -
Pdum_DN80241_c2_g1_i2:419-1648   -            410 530431at33208        -            406   1.2e-69  231.5   0.1   1   1   5.1e-71   1.5e-69  231.1   0.1     7   361    18   392    13   407 0.83 -
Pdum_DN81723_c0_g1_i1:1002-2198  -            399 530431at33208        -            406   2.6e-63  210.6   0.0   1   1   1.2e-64   3.4e-63  210.2   0.0    10   338    24   373    17   398 0.81 -
Pdum_DN80143_c2_g1_i1:1065-2234  -            390 530431at33208        -            406   2.6e-62  207.3   0.0   1   1   1.1e-63   3.2e-62  207.0   0.0     4   328    24   369    21   385 0.79 -
Pdum_DN90760_c2_g2_i1:528-1784   -            419 530431at33208        -            406   3.3e-62  206.9   0.0   1   1   1.5e-63   4.4e-62  206.5   0.0    11   338    42   389    34   397 0.81 -
Pdum_DN82891_c5_g1_i1:742-1983   -            414 530431at33208        -            406   4.8e-62  206.4   0.1   1   2   1.6e-42   4.7e-41  137.3   0.0     6   165    32   199    28   203 0.89 -
Pdum_DN82891_c5_g1_i1:742-1983   -            414 530431at33208        -            406   4.8e-62  206.4   0.1   2   2   3.3e-21   9.5e-20   67.1   0.0   213   329   273   401   220   412 0.68 -
