#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN76007_c0_g1_i1:323-916     -            198 456998at33208        -            219   5.7e-26   89.4   0.0   1   2   1.7e-24   2.1e-22   77.7   0.0    96   200     5   115     1   119 0.88 -
Pdum_DN76007_c0_g1_i1:323-916     -            198 456998at33208        -            219   5.7e-26   89.4   0.0   2   2     0.001      0.13    9.7   0.0   200   219   171   191   153   191 0.85 -
Pdum_DN60936_c0_g2_i1:142-405     -             88 456998at33208        -            219   1.5e-21   74.9   0.1   1   1   1.6e-23     2e-21   74.5   0.1     5    67     6    68     3    71 0.93 -
Pdum_DN89703_c4_g1_i7:941-1246    -            102 456998at33208        -            219   2.3e-19   67.8   1.2   1   1   2.2e-21   2.8e-19   67.5   1.2     3    66    28    94    26    98 0.91 -
Pdum_DN78317_c0_g1_i2:475-2034    -            520 456998at33208        -            219   1.6e-18   65.0   0.7   1   2   1.3e-20   1.6e-18   65.0   0.7     8    70    11    77     8    80 0.86 -
Pdum_DN78317_c0_g1_i2:475-2034    -            520 456998at33208        -            219   1.6e-18   65.0   0.7   2   2       3.4   4.2e+02   -1.8   3.3    76   106   375   402   313   411 0.68 -
Pdum_DN37196_c0_g1_i1:140-1081    -            314 456998at33208        -            219     2e-18   64.7   1.0   1   1   2.8e-20   3.6e-18   63.9   1.0     8    67     8    67     2    70 0.91 -
Pdum_DN72206_c0_g1_i3:735-2661    -            355 456998at33208        -            219   8.4e-18   62.7   0.4   1   1   9.8e-20   1.2e-17   62.1   0.4     6    67     3    67     1    70 0.90 -
Pdum_DN80514_c0_g1_i1:932-1381    -            150 456998at33208        -            219   1.1e-17   62.2   0.1   1   1   1.1e-19   1.3e-17   62.0   0.1     4    68    12    79     9   110 0.90 -
Pdum_DN87081_c0_g1_i7:992-2014    -            341 456998at33208        -            219   1.2e-17   62.1   2.2   1   1   1.4e-19   1.7e-17   61.7   2.2     4    68     3    70     1    75 0.88 -
Pdum_DN82242_c0_g3_i6:2268-2444   -             59 456998at33208        -            219   2.5e-17   61.1   0.3   1   1     2e-19   2.5e-17   61.1   0.3    12    61     9    59     1    59 0.84 -
Pdum_DN86086_c0_g2_i4:3070-3273   -             68 456998at33208        -            219   2.3e-16   57.9   0.1   1   1   1.9e-18   2.4e-16   57.9   0.1     4    67     2    67     1    68 0.91 -
Pdum_DN87670_c0_g1_i10:2610-3677  -            356 456998at33208        -            219     7e-16   56.4   1.4   1   1   8.9e-18   1.1e-15   55.7   1.4     5    67    25    90    21    98 0.90 -
Pdum_DN68470_c3_g1_i1:648-977     -            110 456998at33208        -            219   9.2e-16   56.0   0.2   1   1   8.6e-18   1.1e-15   55.8   0.2     5    69     9    75     5    94 0.88 -
Pdum_DN74247_c0_g6_i1:744-1772    -            343 456998at33208        -            219   2.7e-15   54.4   1.0   1   1   3.4e-17   4.3e-15   53.8   1.0     6    67     3    61     1    64 0.88 -
Pdum_DN79537_c2_g1_i3:697-1422    -            242 456998at33208        -            219   1.5e-13   48.7   1.6   1   1   1.2e-15   1.5e-13   48.7   1.6     4    75    11    87     8   146 0.79 -
Pdum_DN83832_c0_g1_i3:1807-2064   -             86 456998at33208        -            219   1.4e-11   42.3   0.2   1   1   1.1e-13   1.4e-11   42.3   0.2    14    76    13    74     1    85 0.85 -
Pdum_DN79997_c2_g4_i1:59-400      -            114 456998at33208        -            219   7.4e-11   39.9   3.1   1   1   5.9e-13   7.4e-11   39.9   3.1     6    69     5    71     1    95 0.84 -
Pdum_DN78238_c0_g1_i4:3859-4062   -             68 456998at33208        -            219   5.3e-10   37.2   0.1   1   1   4.2e-12   5.3e-10   37.2   0.1    13    65    19    67     4    68 0.86 -
Pdum_DN92086_c0_g1_i11:3986-10687 -           2234 456998at33208        -            219   6.7e-07   27.0   0.0   1   1   1.6e-08     2e-06   25.4   0.0    14    59  1309  1351  1298  1354 0.89 -
Pdum_DN80592_c0_g1_i2:1463-1981   -            173 456998at33208        -            219   7.7e-07   26.8   0.8   1   2      0.64        80    0.6   2.3    80   128    81   130    41   134 0.69 -
Pdum_DN80592_c0_g1_i2:1463-1981   -            173 456998at33208        -            219   7.7e-07   26.8   0.8   2   2   6.2e-09   7.7e-07   26.8   0.8     3    39   127   166   124   171 0.84 -
Pdum_DN70575_c0_g1_i3:1003-1695   -            231 456998at33208        -            219     3e-06   24.9  24.8   1   2       4.5   5.6e+02   -2.2   0.0    98   112    21    35    11    39 0.72 -
Pdum_DN70575_c0_g1_i3:1003-1695   -            231 456998at33208        -            219     3e-06   24.9  24.8   2   2   9.5e-07   0.00012   19.7  23.7    17   139    54   196    36   218 0.73 -
Pdum_DN87033_c1_g2_i1:868-1914    -            349 456998at33208        -            219   5.5e-06   24.0   0.1   1   1   6.6e-08   8.2e-06   23.5   0.1     8    63   288   346   280   348 0.82 -
Pdum_DN85632_c0_g1_i3:0-812       -            271 456998at33208        -            219   0.00031   18.3   0.1   1   2   2.5e-06   0.00031   18.3   0.1    13    67    99   158    81   162 0.78 -
Pdum_DN85632_c0_g1_i3:0-812       -            271 456998at33208        -            219   0.00031   18.3   0.1   2   2       7.3   9.2e+02   -2.9   2.3    91   107   250   266   226   269 0.53 -
Pdum_DN83614_c0_g1_i3:1720-2064   -            115 456998at33208        -            219   0.00071   17.1   0.0   1   1     7e-06   0.00087   16.8   0.0   146   186    16    55    12    72 0.78 -
Pdum_DN68643_c0_g1_i2:464-622     -             53 456998at33208        -            219   0.00081   16.9   0.0   1   1   6.5e-06   0.00081   16.9   0.0    22    66     1    44     1    52 0.82 -
Pdum_DN62329_c0_g1_i1:474-686     -             71 456998at33208        -            219   0.00096   16.7   0.0   1   1     8e-06     0.001   16.6   0.0   138   196     5    69     2    71 0.75 -
Pdum_DN86718_c0_g1_i8:4884-5372   -            163 456998at33208        -            219    0.0012   16.4   0.0   1   2   0.00095      0.12    9.8   0.0   141   192     8    60     4    80 0.83 -
Pdum_DN86718_c0_g1_i8:4884-5372   -            163 456998at33208        -            219    0.0012   16.4   0.0   2   2     0.032       4.1    4.8   0.0   146   182    87   128    76   139 0.72 -
Pdum_DN84216_c0_g1_i7:2474-2644   -             57 456998at33208        -            219    0.0016   16.0   0.0   1   1   1.3e-05    0.0017   15.9   0.0   144   185    11    54     5    57 0.81 -
Pdum_DN85107_c0_g1_i6:3931-4224   -             98 456998at33208        -            219    0.0032   15.0   0.0   1   1   2.7e-05    0.0034   14.9   0.0   142   199    12    72     5    85 0.78 -
Pdum_DN86159_c0_g1_i1:3225-3536   -            104 456998at33208        -            219      0.02   12.3   0.0   1   1    0.0002     0.024   12.1   0.0   145   190    12    59     8    71 0.82 -
Pdum_DN89227_c2_g1_i9:732-1865    -            378 456998at33208        -            219     0.022   12.2   0.2   1   2       7.2     9e+02   -2.8   0.1    86   120    94   128    85   135 0.63 -
Pdum_DN89227_c2_g1_i9:732-1865    -            378 456998at33208        -            219     0.022   12.2   0.2   2   2   0.00042     0.052   11.0   0.0   145   188   225   269   218   278 0.83 -
Pdum_DN83455_c0_g1_i1:2407-2658   -             84 456998at33208        -            219     0.036   11.6   0.0   1   1   0.00034     0.042   11.3   0.0   145   191    24    73    20    81 0.84 -
Pdum_DN86840_c0_g1_i4:0-632       -            211 456998at33208        -            219     0.047   11.2   8.1   1   2         6   7.5e+02   -2.6   0.0   105   125    17    37    12    49 0.53 -
Pdum_DN86840_c0_g1_i4:0-632       -            211 456998at33208        -            219     0.047   11.2   8.1   2   2   0.00011     0.014   12.9   5.1    57   130   133   206   124   209 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/456998at33208.hmm
# Target file:     /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/hmmer_output/initial_run_results/456998at33208.out --cpu 1 /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/456998at33208.hmm /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas 
# Current dir:     /mnt/f/phylo/WORMS/busco_analysis
# Date:            Sun Mar 12 20:42:28 2023
# [ok]
