7_0	6_48	81.564	179	33	0	319	497	195	373	8.22e-112	328
7_0	6_66	41.401	157	89	2	339	495	66	219	2.50e-36	130
7_0	6_63	32.258	248	133	4	263	489	122	355	7.42e-33	123
7_0	6_4	37.662	154	79	3	345	489	273	418	3.55e-27	105
7_0	6_23	42.188	64	36	1	429	491	227	290	8.70e-09	48.9
7_0	6_15	33.824	68	45	0	424	491	165	232	2.41e-08	47.8
7_0	6_59	37.097	62	38	1	430	491	266	326	7.53e-08	45.8
7_0	6_30	33.333	63	42	0	432	494	266	328	7.82e-08	46.2
7_0	6_13	34.568	81	34	4	432	496	264	341	9.90e-08	45.8
7_0	6_55	41.935	62	35	1	430	490	164	225	1.15e-07	45.1
7_0	6_53	33.333	60	40	0	432	491	49	108	1.53e-07	42.4
7_0	6_0	30.508	59	41	0	427	485	66	124	1.72e-07	44.7
7_0	6_3	29.688	64	45	0	430	493	41	104	2.64e-07	43.9
7_0	6_8	31.707	82	50	3	415	490	206	287	3.57e-07	43.9
7_0	6_24	27.381	84	61	0	407	490	243	326	5.95e-07	43.1
7_0	6_51	32.500	80	53	1	418	496	257	336	7.00e-07	43.1
7_0	6_52	32.143	56	38	0	434	489	129	184	1.46e-06	42.0
7_0	6_7	34.921	63	41	0	427	489	254	316	1.54e-06	42.0
7_0	6_43	34.426	61	40	0	431	491	153	213	1.74e-06	41.2
7_0	6_25	40.351	57	34	0	434	490	223	279	1.82e-06	41.6
7_0	6_65	32.258	62	42	0	432	493	127	188	1.83e-06	41.6
7_0	6_58	33.898	59	39	0	432	490	14	72	3.23e-06	40.4
7_0	6_57	32.308	65	44	0	427	491	254	318	3.57e-06	40.8
7_0	6_21	26.882	93	57	2	402	489	249	335	3.69e-06	40.4
7_0	6_45	33.333	60	40	0	430	489	59	118	4.24e-06	40.0
7_0	6_39	28.571	77	52	1	418	494	3	76	6.78e-06	39.7
7_0	6_61	28.070	57	41	0	434	490	106	162	8.13e-06	39.7
7_0	6_69	27.397	73	51	2	425	496	200	271	9.58e-06	38.9
7_0	6_46	31.667	60	41	0	426	485	335	394	2.79e-05	37.7
7_0	6_2	25.373	67	50	0	431	497	282	348	3.42e-05	37.7
7_0	6_50	25.962	104	74	1	392	492	24	127	6.78e-05	36.2
