4_0	2_2	67.164	268	69	9	61	324	24	276	1.09e-93	273
4_0	2_10	73.394	218	44	7	111	324	16	223	1.80e-92	268
4_0	2_69	72.683	205	43	6	113	313	1	196	1.13e-85	249
4_0	2_132	64.062	64	23	0	103	166	6	69	3.03e-26	92.0
4_0	2_125	59.459	74	30	0	93	166	11	84	3.22e-25	90.1
4_0	2_73	63.333	60	22	0	106	165	1	60	2.33e-24	87.0
4_0	2_49	52.778	72	34	0	103	174	104	175	5.58e-23	88.6
4_0	2_61	52.778	72	34	0	103	174	128	199	9.64e-23	88.2
4_0	2_90	59.322	59	24	0	107	165	2	60	1.06e-22	82.4
4_0	2_145	58.333	60	25	0	106	165	1	60	1.58e-22	82.0
4_0	2_142	53.030	66	31	0	101	166	9	74	2.01e-22	82.0
4_0	2_98	59.016	61	25	0	104	164	1	61	2.50e-22	81.6
4_0	2_66	54.286	70	32	0	97	166	63	132	4.31e-22	88.2
4_0	2_76	54.098	61	28	0	106	166	2	62	5.36e-22	80.5
4_0	2_44	48.276	87	44	1	80	166	46	131	1.46e-21	84.7
4_0	2_92	60.000	60	24	0	106	165	1	60	3.61e-21	78.2
4_0	2_5	53.125	64	30	0	103	166	13	76	4.75e-21	82.8
4_0	2_32	53.125	64	30	0	103	166	40	103	6.21e-21	83.2
4_0	2_122	57.377	61	26	0	104	164	170	230	6.59e-21	83.2
4_0	2_6	58.333	60	25	0	104	163	150	209	8.21e-21	82.4
4_0	2_62	54.545	66	30	0	104	169	79	144	1.38e-20	82.8
4_0	2_25	54.545	66	30	0	104	169	58	123	1.51e-20	82.4
4_0	2_143	54.237	59	27	0	107	165	2	60	1.60e-19	73.9
4_0	2_3	47.561	82	36	1	92	166	139	220	3.81e-19	79.3
4_0	2_85	57.143	56	24	0	108	163	3	58	7.85e-19	72.0
4_0	2_17	54.098	61	28	0	105	165	10	70	8.73e-19	74.3
4_0	2_103	51.724	58	28	0	106	163	1	58	9.91e-19	71.6
4_0	2_113	57.143	56	24	0	110	165	1	56	1.00e-18	71.6
4_0	2_63	50.000	84	37	2	82	165	65	143	2.02e-18	77.4
4_0	2_40	53.846	65	30	0	105	169	22	86	2.40e-18	74.7
4_0	2_16	58.333	60	25	0	107	166	133	192	6.58e-18	75.1
4_0	2_15	41.096	73	43	0	94	166	202	274	8.06e-18	75.9
4_0	2_128	38.053	113	61	3	100	207	18	126	8.41e-17	68.9
4_0	2_29	53.448	58	27	0	111	168	101	158	2.19e-16	70.1
4_0	2_41	31.599	269	123	12	77	300	4	256	3.79e-16	69.7
4_0	2_127	50.000	58	29	0	107	164	1	58	4.14e-16	64.3
4_0	2_65	33.047	233	106	10	102	300	56	272	5.56e-16	69.3
4_0	2_114	46.774	62	33	0	105	166	6	67	6.08e-16	64.3
4_0	2_149	44.262	61	34	0	103	163	1	61	7.05e-16	63.9
4_0	2_89	47.458	59	31	0	107	165	11	69	8.63e-16	63.9
4_0	2_31	55.357	56	25	0	111	166	60	115	1.10e-15	68.2
