7_0	2_54	90.116	172	17	0	325	496	9	180	1.01e-118	339
7_0	2_20	40.237	169	92	3	322	490	131	290	6.58e-36	128
7_0	2_39	37.908	153	93	1	339	489	2	154	1.64e-33	117
7_0	2_56	34.831	178	103	5	316	489	155	323	2.05e-30	113
7_0	2_8	39.062	64	38	1	426	489	1671	1733	4.03e-09	51.2
7_0	2_8	30.508	59	41	0	427	485	1927	1985	1.22e-06	43.1
7_0	2_8	28.000	50	36	0	434	483	1571	1620	6.32e-04	34.3
7_0	2_81	39.286	56	34	0	434	489	1	56	8.74e-09	44.3
7_0	2_94	42.623	61	34	1	430	489	9	69	1.20e-08	44.7
7_0	2_123	34.483	58	38	0	432	489	18	75	2.08e-08	43.9
7_0	2_144	33.846	65	43	0	428	492	6	70	2.62e-08	43.5
7_0	2_127	38.462	52	32	0	434	485	1	52	2.67e-08	43.1
7_0	2_25	29.487	78	51	1	418	495	49	122	7.91e-08	45.8
7_0	2_46	37.500	56	35	0	430	485	955	1010	8.66e-08	46.6
7_0	2_107	33.929	56	37	0	430	485	1	56	8.76e-08	41.6
7_0	2_62	29.487	78	51	1	418	495	70	143	1.02e-07	45.4
7_0	2_143	36.538	52	33	0	434	485	2	53	1.07e-07	41.2
7_0	2_114	32.836	67	45	0	427	493	1	67	2.24e-07	40.8
7_0	2_104	32.692	52	35	0	434	485	1	52	2.38e-07	40.4
7_0	2_36	33.871	62	41	0	432	493	106	167	2.47e-07	43.5
7_0	2_80	33.333	57	38	0	433	489	1	57	2.66e-07	40.0
7_0	2_49	35.484	62	40	0	432	493	106	167	2.79e-07	43.9
7_0	2_90	38.462	52	32	0	434	485	2	53	2.94e-07	40.0
7_0	2_132	31.667	60	41	0	432	491	8	67	3.52e-07	40.0
7_0	2_99	30.508	59	41	0	435	493	1	59	3.56e-07	40.0
7_0	2_103	33.962	53	35	0	433	485	1	53	3.87e-07	39.7
7_0	2_151	39.286	56	34	0	434	489	13	68	3.87e-07	40.8
7_0	2_106	30.189	53	37	0	433	485	1	53	4.02e-07	39.7
7_0	2_27	27.536	69	47	1	428	493	151	219	4.09e-07	43.5
7_0	2_24	27.536	69	47	1	428	493	151	219	4.12e-07	43.5
7_0	2_73	35.849	53	34	0	433	485	1	53	4.31e-07	39.7
7_0	2_61	36.667	60	38	0	432	491	130	189	4.41e-07	43.1
7_0	2_55	27.536	69	47	1	428	493	151	219	4.43e-07	43.5
7_0	2_85	33.962	53	35	0	433	485	1	53	4.94e-07	39.3
7_0	2_86	30.189	53	37	0	433	485	1	53	6.42e-07	39.3
7_0	2_88	32.692	52	35	0	434	485	2	53	7.04e-07	38.9
7_0	2_5	34.921	63	41	0	432	494	15	77	7.87e-07	42.4
